Sentence #,Word,NER Label,,
Sentence: 1,Network,B-Designation,,
,,,,
Sentence: 2,Technician,I-Designation,,
,,,,
Sentence: 3,Network,B-Designation,,
,,,,
Sentence: 4,Security,I-Designation,,
,,,,
Sentence: 5,Specialist,I-Designation,,
,,,,
Sentence: 6,Network,B-Designation,,
,,,,
Sentence: 7,Security,I-Designation,,
,,,,
Sentence: 8,Specialists,I-Designation,,
,,,,
Sentence: 9,focus,B-Responsibilities,,
,,,,
Sentence: 10,on,O,,
,,,,
Sentence: 11,network,B-Skills,,
,,,,
Sentence: 12,security,I-Skills,,
,,,,
Sentence: 13,They,O,,
,,,,
Sentence: 14,implement,B-Responsibilities,,
,,,,
Sentence: 15,security,B-Skills,,
,,,,
Sentence: 16,measures,I-Skills,,
,,,,
Sentence: 17,monitor,B-Responsibilities,,
,,,,
Sentence: 18,for,O,,
,,,,
Sentence: 19,threats,I-Skills,,
,,,,
Sentence: 20,and,O,,
,,,,
Sentence: 21,respond,B-Responsibilities,,
,,,,
Sentence: 22,to,O,,
,,,,
Sentence: 23,security,B-Skills,,
,,,,
Sentence: 24,incidents,I-Skills,,
,,,,
Sentence: 25,to,O,,
,,,,
Sentence: 26,protect,B-Responsibilities,,
,,,,
Sentence: 27,network,B-Skills,,
,,,,
Sentence: 28,integrity,I-Skills,,
,,,,
Sentence: 1,Mechanical,B-Designation,,
,,,,
Sentence: 2,Designer,I-Designation,,
,,,,
Sentence: 3,HVAC,B-Designation,,
,,,,
Sentence: 4,Systems,I-Designation,,
,,,,
Sentence: 5,Designer,I-Designation,,
,,,,
Sentence: 6,Design,B-Responsibilities,,
,,,,
Sentence: 7,and,O,,
,,,,
Sentence: 8,optimize,I-Responsibilities,,
,,,,
Sentence: 9,heating,B-Skills,,
,,,,
Sentence: 10,ventilation,I-Skills,,
,,,,
Sentence: 11,and,O,,
,,,,
Sentence: 12,air,B-Skills,,
,,,,
Sentence: 13,conditioning,I-Skills,,
,,,,
Sentence: 14,(HVAC),O,,
,,,,
Sentence: 15,systems,I-Skills,,
,,,,
Sentence: 16,for,O,,
,,,,
Sentence: 17,buildings,O,,
,,,,
Sentence: 18,focusing,B-Responsibilities,,
,,,,
Sentence: 19,on,O,,
,,,,
Sentence: 20,energy,B-Skills,,
,,,,
Sentence: 21,efficiency,I-Skills,,
,,,,
Sentence: 22,and,O,,
,,,,
Sentence: 23,comfort,I-Skills,,
,,,,
Sentence: 1,Sales,B-Designation,,
,,,,
Sentence: 2,Manager,I-Designation,,
,,,,
Sentence: 3,Sales,B-Designation,,
,,,,
Sentence: 4,Team,I-Designation,,
,,,,
Sentence: 5,Leader,I-Designation,,
,,,,
Sentence: 6,Lead,B-Responsibilities,,
,,,,
Sentence: 7,and,O,,
,,,,
Sentence: 8,motivate,I-Responsibilities,,
,,,,
Sentence: 9,sales,B-Skills,,
,,,,
Sentence: 10,teams,I-Skills,,
,,,,
Sentence: 11,set,B-Responsibilities,,
,,,,
Sentence: 12,sales,I-Responsibilities,,
,,,,
Sentence: 13,targets,I-Responsibilities,,
,,,,
Sentence: 14,and,O,,
,,,,
Sentence: 15,develop,I-Responsibilities,,
,,,,
Sentence: 16,sales,I-Skills,,
,,,,
Sentence: 17,strategies,I-Skills,,
,,,,
Sentence: 18,to,O,,
,,,,
Sentence: 19,meet,B-Responsibilities,,
,,,,
Sentence: 20,goals,O,,
,,,,
Sentence: 1,Event,B-Designation,,
,,,,
Sentence: 2,Planner,I-Designation,,
,,,,
Sentence: 3,Wedding,B-Designation,,
,,,,
Sentence: 4,Planner,I-Designation,,
,,,,
Sentence: 5,Wedding,B-Designation,,
,,,,
Sentence: 6,Planners,I-Designation,,
,,,,
Sentence: 7,specialize,B-Responsibilities,,
,,,,
Sentence: 8,in,O,,
,,,,
Sentence: 9,organizing,I-Responsibilities,,
,,,,
Sentence: 10,weddings,I-Skills,,
,,,,
Sentence: 11,assisting,B-Responsibilities,,
,,,,
Sentence: 12,couples,I-Skills,,
,,,,
Sentence: 13,with,O,,
,,,,
Sentence: 14,every,B-Skills,,
,,,,
Sentence: 15,aspect,I-Skills,,
,,,,
Sentence: 16,of,O,,
,,,,
Sentence: 17,wedding,B-Skills,,
,,,,
Sentence: 18,planning,I-Skills,,
,,,,
Sentence: 19,from,O,,
,,,,
Sentence: 20,venue,B-Responsibilities,,
,,,,
Sentence: 21,selection,I-Responsibilities,,
,,,,
Sentence: 22,to,O,,
,,,,
Sentence: 23,catering,I-Responsibilities,,
,,,,
Sentence: 24,and,O,,
,,,,
Sentence: 25,decor,I-Responsibilities,,
,,,,
Sentence: 1,Data,B-Designation,,
,,,,
Sentence: 2,Analyst,I-Designation,,
,,,,
Sentence: 3,Business,B-Designation,,
,,,,
